id,observed_on_string,observed_on,time_observed_at,quality_grade,license,url,image_url,tag_list,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,private_place_guess,coordinates_obscured,place_town_name,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
6323003,Mon May 22 2017 12:27:23 GMT-0700 (PDT),2017-05-22,2017-05-22 19:27:23 UTC,research,CC0,http://inaturalist.ca/observations/6323003,https://inaturalist-open-data.s3.amazonaws.com/photos/7964228/medium.jpg,"",false,"McGill Park, Prince George, BC, CA",53.8712283333,-122.7735883333,,,false,,Fraser-Fort George,British Columbia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
6387030,Sat May 27 2017 13:54:39 GMT-0700 (PDT),2017-05-27,2017-05-27 20:54:39 UTC,research,CC0,http://inaturalist.ca/observations/6387030,https://inaturalist-open-data.s3.amazonaws.com/photos/8063354/medium.jpg,"",false,"Hudsons Bay Slough, Prince George, BC, CA",53.90058,-122.745255,,,false,,Fraser-Fort George,British Columbia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
7799712,Sat Sep 02 2017 10:54:01 GMT-0400 (EDT),2017-09-02,2017-09-02 14:54:01 UTC,research,CC0,https://www.inaturalist.org/observations/7799712,https://inaturalist-open-data.s3.amazonaws.com/photos/10255715/medium.jpg,"",false,"Hope Bay, Ontario",44.903257,-81.155586,93,,false,,Bruce,Ontario,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
8257738,2017/10/04,2017-10-04,,research,CC0,https://www.inaturalist.org/observations/8257738,https://inaturalist-open-data.s3.amazonaws.com/photos/10952153/medium.jpeg,"",false,"District de Deschenes, Gatineau, QC, Canada",45.4695112141,-75.810277462,97,,false,,Communauté-Urbaine-de-l'Outaouais,Québec,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
8330042,2017/10/04 3:28 PM EDT,2017-10-04,2017-10-04 19:28:00 UTC,research,CC0,https://www.inaturalist.org/observations/8330042,https://inaturalist-open-data.s3.amazonaws.com/photos/11066559/medium.jpg,"",false,"District de Deschenes, Gatineau, QC, Canada",45.4670616667,-75.80559,4,,false,,Communauté-Urbaine-de-l'Outaouais,Québec,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
13166534,Tue Jun 05 2018 17:06:59 GMT-0400 (EDT),2018-06-05,2018-06-05 21:06:59 UTC,research,CC0,https://www.inaturalist.org/observations/13166534,https://inaturalist-open-data.s3.amazonaws.com/photos/19222403/medium.jpg,"",false,"Kawartha Lakes ON, Kawartha Lakes, ON, CA",44.6925916667,-79.04885,5,,false,,Kawartha Lakes,Ontario,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
15705630,2018/08/18 3:41 PM EDT,2018-08-18,2018-08-18 19:41:00 UTC,research,CC0,https://www.inaturalist.org/observations/15705630,https://inaturalist-open-data.s3.amazonaws.com/photos/23442503/medium.jpeg,"",false,"South Bruce Peninsula, ON, Canada",44.8140713889,-81.28984,20,,false,,Bruce,Ontario,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
16907029,2018-09-24 10:51:57 AM MDT,2018-09-24,2018-09-24 16:51:57 UTC,research,CC0,https://www.inaturalist.org/observations/16907029,https://inaturalist-open-data.s3.amazonaws.com/photos/25542082/medium.jpeg,"",false,"Ramparts Trail, Brian Head, UT 84719, USA",37.6102179,-112.83925958,4,,false,,Iron,Utah,United States,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
25962330,2019-05-27 11:16:34 AM ADT,2019-05-27,2019-05-27 14:16:34 UTC,research,CC0,https://www.inaturalist.org/observations/25962330,https://inaturalist-open-data.s3.amazonaws.com/photos/40270327/medium.jpeg,"",false,"Hants, CA-NS, CA",44.8471380472,-64.0737478641,,,true,,Hants,Nova Scotia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
27027518,2019/06/07 1:00 PM HST,2019-06-07,2019-06-07 23:00:00 UTC,research,CC0,https://www.inaturalist.org/observations/27027518,https://inaturalist-open-data.s3.amazonaws.com/photos/42008360/medium.jpeg,"",false,"Marrowstone, WA 98358, USA",48.0189976045,-122.6714287397,,,false,,Jefferson,Washington,United States,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
